ry_ini_q,ry_ini_delta,ry_fin_q,ry_fin_delta,snow_q,snow_delta,obs_fin_q,obs_fin_delta,resub_factor,prcp_perday,prcp_duration,CLOUD_AGING,p_btm,p_top,delta_q_surf,rh_surf,dt,temp_air_fin,ALPHA_RY_MODE,h_air,surface_wind,temp_air_init,temp_sea_init
3.7378786914194815,-18.035901907714646,0.664380693404857,-43.988015095768894,0.10215260416666666,-27.640425008675738,2.8238395393979445,-15.091453661895017,0.2,1,0.25,True,700,400,-15,0.7,0.5,-20,eq,0.5,35,0,5
3.7378786914194815,-14.294863446949414,0.664380693404857,-40.246976635003655,0.10215260416666666,-23.830013631034067,2.8238395393979445,-15.063885279220202,0.2,1,0.25,True,700,400,-15,0.7,0.5,-20,eq,1,35,0,5
3.7378786914194815,-14.936640119945,0.664380693404857,-40.888753307999245,0.10215260416666666,-24.483691256210633,2.8238395393979445,-15.06861464650655,0.2,1,0.25,True,700,400,-15,0.7,0.5,-20,eq,0.5,6.5,0,5
3.7378786914194815,-14.294863446949414,0.664380693404857,-37.12510178818729,0.10215260416666666,-23.0647171085863,2.8238395393979445,-15.058348347561257,0.2,1,0.25,True,700,400,-15,0.7,0.5,-20,eff,1,35,0,5
5.327510845438027,-11.073186114760825,1.6648435882347152,-25.825172705597662,0.10215260416666666,-11.571708351135511,2.8238395393979445,-14.97519625921473,0.2,1,0.25,True,700,400,-15,0.7,0.5,-10,eq,1,6.5,5,5
5.327510845438027,-11.073186114760825,0.664380693404857,-37.66990189971462,0.10215260416666666,-23.618137341396558,2.8238395393979445,-15.06235235113107,0.2,1,0.25,True,700,400,-15,0.7,0.5,-20,eff,1,35,5,5
5.327510845438027,-16.43988535183849,0.664380693404857,-46.39425676195488,0.10215260416666666,-30.09128744123925,2.8238395393979445,-15.109185687843919,0.2,1,0.25,True,700,400,-15,0.7,0.5,-20,eq,0.5,35,5,5
5.327510845438027,-11.073186114760825,0.664380693404857,-41.02755752487721,0.10215260416666666,-24.625069425067387,2.8238395393979445,-15.069637519649293,0.2,1,0.25,True,700,400,-15,0.7,0.5,-20,eq,1,35,5,5
3.7378786914194815,-12.85779587538116,0.664380693404857,-38.8099090634354,0.10215260416666666,-22.36629742423006,2.8238395393979445,-15.053295270815003,0.2,1,0.25,True,700,400,-15,0.7,0.5,-20,eq,1,6.5,0,5
3.7378786914194815,-12.85779587538116,0.664380693404857,-35.68803421661903,0.10215260416666666,-21.604911478502018,2.8238395393979445,-15.047786632236493,0.2,1,0.25,True,700,400,-15,0.7,0.5,-20,eff,1,6.5,0,5
3.7378786914194815,-12.85779587538116,1.6648435882347152,-23.607524244155858,0.10215260416666666,-9.320563459086468,2.8238395393979445,-14.958909192625214,0.2,1,0.25,True,700,400,-15,0.7,0.5,-10,eq,1,6.5,0,5
3.7378786914194815,-14.294863446949414,1.6648435882347152,-25.04459181572411,0.10215260416666666,-10.779337191500892,2.8238395393979445,-14.969463442155106,0.2,1,0.25,True,700,400,-15,0.7,0.5,-10,eq,1,35,0,5
5.327510845438027,-14.048893679109554,1.6648435882347152,-28.800880269946397,0.10215260416666666,-14.592362435926727,2.8238395393979445,-14.99705073619484,0.2,1,0.25,True,700,400,-15,0.7,0.5,-10,eq,0.5,6.5,5,5
5.327510845438027,-11.073186114760825,1.6648435882347152,-24.512949812645264,0.10215260416666666,-11.918021463476807,2.8238395393979445,-14.977701839704594,0.2,1,0.25,True,700,400,-15,0.7,0.5,-10,eff,1,6.5,5,5
5.327510845438027,-11.073186114760825,1.6648435882347152,-25.825172705597662,0.10215260416666666,-11.571708351135511,2.8238395393979445,-14.97519625921473,0.2,1,0.25,True,700,400,-15,0.7,0.5,-10,eq,1,35,5,5
3.7378786914194815,-18.035901907714646,1.6648435882347152,-28.785630276489343,0.10215260416666666,-14.576882099215604,2.8238395393979445,-14.996938735729826,0.2,1,0.25,True,700,400,-15,0.7,0.5,-10,eq,0.5,35,0,5
3.7378786914194815,-14.294863446949414,1.6648435882347152,-23.968149701117934,0.10215260416666666,-11.36596045558992,2.8238395393979445,-14.973707670147164,0.2,1,0.25,True,700,400,-15,0.7,0.5,-10,eff,1,35,0,5
5.327510845438027,-11.073186114760825,1.6648435882347152,-24.512949812645264,0.10215260416666666,-11.918021463476807,2.8238395393979445,-14.977701839704594,0.2,1,0.25,True,700,400,-15,0.7,0.5,-10,eff,1,35,5,5
3.7378786914194815,-12.85779587538116,1.6648435882347152,-22.531082129549677,0.10215260416666666,-9.909740173857855,2.8238395393979445,-14.963171894870841,0.2,1,0.25,True,700,400,-15,0.7,0.5,-10,eff,1,6.5,0,5
